Date,Open,High,Low,Close,Volume,Adj Close
2024-01-02,351.32000732421875,353.1600036621094,340.010009765625,346.2900085449219,19042200,344.66558837890625
2024-01-03,344.9800109863281,347.95001220703125,343.17999267578125,344.4700012207031,15451100,342.8541564941406
2024-01-04,344.5,348.1499938964844,343.3999938964844,347.1199951171875,12099900,345.49169921875
2024-01-05,346.989990234375,353.5,346.260009765625,351.95001220703125,13920700,350.2990417480469
2024-01-08,354.70001220703125,358.9800109863281,352.04998779296875,358.6600036621094,13890200,356.9775695800781
2024-01-09,356.3999938964844,360.6400146484375,355.3599853515625,357.42999267578125,13463900,355.7533264160156
2024-01-10,360.1700134277344,372.94000244140625,359.0799865722656,370.4700012207031,22117200,368.732177734375
2024-01-11,372.1300048828125,372.7799987792969,362.92999267578125,369.6700134277344,17205400,367.9359436035156
2024-01-12,370.1600036621094,377.05999755859375,369.5400085449219,374.489990234375,19295700,372.7332763671875
2024-01-16,373.6499938964844,375.6099853515625,367.2300109863281,367.4599914550781,15306900,365.73626708984375
2024-01-17,366.29998779296875,368.5400085449219,358.6099853515625,368.3699951171875,12724800,366.64202880859375
2024-01-18,371.489990234375,376.8500061035156,370.95001220703125,376.1300048828125,16354300,374.3656005859375
2024-01-19,379.0,384.3599853515625,377.9700012207031,383.45001220703125,21470100,381.6512756347656
2024-01-22,387.95001220703125,390.3500061035156,381.1600036621094,381.7799987792969,17680500,379.9891052246094
2024-01-23,384.6199951171875,388.3800048828125,382.0799865722656,385.20001220703125,15506100,383.3930358886719
2024-01-24,390.0,396.1499938964844,387.80999755859375,390.70001220703125,15698500,388.8672790527344
2024-01-25,390.1700134277344,395.489990234375,385.6600036621094,393.17999267578125,15091100,391.3356018066406
2024-01-26,394.3500061035156,396.7900085449219,391.5899963378906,394.1400146484375,13163700,392.2911682128906
2024-01-29,394.989990234375,402.92999267578125,393.1000061035156,401.0199890136719,18742400,399.13885498046875
2024-01-30,403.5899963378906,406.3599853515625,399.57000732421875,400.05999755859375,18614700,398.1833190917969
2024-01-31,389.0,398.0,387.1000061035156,390.1400146484375,20180800,388.3099365234375
2024-02-01,393.94000244140625,400.5,393.04998779296875,394.7799987792969,29727100,392.9281311035156
2024-02-02,459.6000061035156,485.9599914550781,453.010009765625,474.989990234375,84615500,472.7618713378906
2024-02-05,469.8800048828125,471.8999938964844,459.2200012207031,459.4100036621094,40832400,457.25494384765625
2024-02-06,464.0,467.1199951171875,453.0,454.7200012207031,21655200,452.58697509765625
2024-02-07,458.0,471.5199890136719,456.17999267578125,469.5899963378906,23066000,467.3871765136719
2024-02-08,468.32000732421875,470.5899963378906,465.0299987792969,470.0,18815100,467.7952880859375
2024-02-09,472.95001220703125,473.5899963378906,467.4700012207031,468.1099853515625,18413100,465.91412353515625
2024-02-12,468.19000244140625,479.1499938964844,466.5799865722656,468.8999938964844,19382000,466.700439453125
2024-02-13,456.8699951171875,467.8900146484375,455.0899963378906,460.1199951171875,20916600,457.96160888671875
2024-02-14,467.92999267578125,474.1099853515625,466.0899963378906,473.2799987792969,16858400,471.0599060058594
2024-02-15,475.2799987792969,488.6199951171875,472.2200012207031,484.0299987792969,24212300,481.75946044921875
2024-02-16,478.1099853515625,478.9599914550781,469.2099914550781,473.32000732421875,23306500,471.0997009277344
2024-02-20,469.7200012207031,476.17999267578125,466.55999755859375,471.75,18015500,469.53704833984375
2024-02-21,466.5,469.0,461.7900085449219,468.0299987792969,12977100,466.3287658691406
2024-02-22,480.239990234375,489.989990234375,476.05999755859375,486.1300048828125,21625800,484.3630065917969
2024-02-23,488.04998779296875,494.3599853515625,482.3500061035156,484.0299987792969,18374300,482.2705993652344
2024-02-26,483.4700012207031,486.1400146484375,480.6000061035156,481.739990234375,12101400,479.98895263671875
2024-02-27,479.9800109863281,487.2699890136719,479.9200134277344,487.04998779296875,10809600,485.2796325683594
2024-02-28,485.0,491.04998779296875,482.75,484.0199890136719,12715500,482.2606201171875
2024-02-29,488.44000244140625,491.70001220703125,482.6099853515625,490.1300048828125,17732000,488.34844970703125
2024-03-01,492.1099853515625,504.25,491.8500061035156,502.29998779296875,16273600,500.47418212890625
2024-03-04,503.0,504.4200134277344,496.4200134277344,498.19000244140625,12324100,496.379150390625
2024-03-05,495.0,495.5799865722656,487.8900146484375,490.2200012207031,15325300,488.4381103515625
2024-03-06,497.6300048828125,502.9700012207031,494.2900085449219,496.0899963378906,11757900,494.2867431640625
2024-03-07,503.2799987792969,519.8499755859375,501.3800048828125,512.1900024414062,18586400,510.3282470703125
2024-03-08,514.1900024414062,523.5700073242188,499.3500061035156,505.95001220703125,18575200,504.1109619140625
2024-03-11,497.010009765625,497.32000732421875,476.0,483.5899963378906,20428300,481.83221435546875
2024-03-12,493.260009765625,502.30999755859375,484.7300109863281,499.75,15448200,497.9334716796875
2024-03-13,495.3900146484375,500.9800109863281,491.0299987792969,495.57000732421875,12090700,493.7686767578125
2024-03-14,500.260009765625,501.3500061035156,488.1600036621094,491.8299865722656,12620000,490.0422668457031
2024-03-15,489.010009765625,491.8299865722656,481.29998779296875,484.1000061035156,29141700,482.34039306640625
2024-03-18,491.9100036621094,497.4200134277344,486.80999755859375,496.9800109863281,11755300,495.1735534667969
